#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	ITSN1	9606.ENSP00000386456	9606.ENSP00000370719	0	0	0.500	0	0.499
AAK1	CHRM2	9606.ENSP00000386456	9606.ENSP00000399745	0	0	0.500	0	0.499
AAK1	AGTR1	9606.ENSP00000386456	9606.ENSP00000398832	0	0	0.500	0	0.499
AAK1	REPS1	9606.ENSP00000386456	9606.ENSP00000392065	0	0.697	0.800	0	0.936
ABCC9	ATP12A	9606.ENSP00000261200	9606.ENSP00000218548	0	0	0.540	0	0.540
ABCC9	PLN	9606.ENSP00000261200	9606.ENSP00000350132	0	0	0.540	0	0.540
ABCC9	ABCG5	9606.ENSP00000261200	9606.ENSP00000384513	0	0	0.540	0	0.540
ABCC9	ABCD4	9606.ENSP00000261200	9606.ENSP00000349396	0	0	0.540	0	0.540
ABCD4	ATP12A	9606.ENSP00000349396	9606.ENSP00000218548	0	0	0.720	0	0.720
ABCD4	PLN	9606.ENSP00000349396	9606.ENSP00000350132	0	0	0.720	0	0.720
ABCD4	ABCG5	9606.ENSP00000349396	9606.ENSP00000384513	0	0	0.900	0	0.900
ABCG5	ATP12A	9606.ENSP00000384513	9606.ENSP00000218548	0	0	0.720	0	0.720
ABCG5	PLN	9606.ENSP00000384513	9606.ENSP00000350132	0	0	0.720	0	0.720
ABL1	YWHAH	9606.ENSP00000361423	9606.ENSP00000248975	0	0.460	0	0	0.460
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0.457	0	0	0.457
ABL1	NAA25	9606.ENSP00000361423	9606.ENSP00000261745	0	0.612	0	0	0.612
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0.457	0	0	0.457
ABL1	CDH2	9606.ENSP00000361423	9606.ENSP00000269141	0	0	0.500	0	0.499
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0.457	0	0	0.457
ABL1	WASF1	9606.ENSP00000361423	9606.ENSP00000376367	0	0.457	0	0	0.457
ABL1	SH3BP1	9606.ENSP00000361423	9606.ENSP00000497104	0	0.483	0	0	0.483
ABL1	SLIT2	9606.ENSP00000361423	9606.ENSP00000422591	0	0	0.500	0	0.499
ABL1	CDH4	9606.ENSP00000361423	9606.ENSP00000484928	0	0	0.500	0	0.499
ABL1	CTNNA2	9606.ENSP00000361423	9606.ENSP00000384638	0	0	0.500	0	0.499
ABL1	ABL2	9606.ENSP00000361423	9606.ENSP00000427562	0	0.457	0.900	0	0.943
ABL2	SLIT2	9606.ENSP00000427562	9606.ENSP00000422591	0	0	0.500	0	0.499
ACSL3	IFT140	9606.ENSP00000350012	9606.ENSP00000406012	0	0.422	0	0	0.422
ACTA2	MYL7	9606.ENSP00000224784	9606.ENSP00000223364	0	0	0.500	0	0.499
ACTA2	FNTB	9606.ENSP00000224784	9606.ENSP00000246166	0	0.446	0	0	0.446
ACTA2	CALD1	9606.ENSP00000224784	9606.ENSP00000354826	0	0	0.500	0	0.499
ACTA2	MYL12A	9606.ENSP00000224784	9606.ENSP00000464359	0	0.047	0.500	0	0.503
ACTA2	TPM2	9606.ENSP00000224784	9606.ENSP00000496494	0	0.081	0.500	0	0.520
ACTA2	DCTN5	9606.ENSP00000224784	9606.ENSP00000300087	0	0.134	0.540	0	0.584
ACTA2	MYL9	9606.ENSP00000224784	9606.ENSP00000279022	0	0	0.900	0	0.900
ACVR2A	TGFBR3	9606.ENSP00000241416	9606.ENSP00000212355	0	0	0.720	0	0.720
ACVR2A	CFC1	9606.ENSP00000241416	9606.ENSP00000259216	0	0	0.500	0	0.499
ACVR2A	SMAD1	9606.ENSP00000241416	9606.ENSP00000305769	0	0	0.500	0	0.499
ACVR2A	SMAD9	9606.ENSP00000241416	9606.ENSP00000369154	0	0	0.500	0	0.499
ACVR2A	SMURF1	9606.ENSP00000241416	9606.ENSP00000354621	0	0	0.500	0	0.499
ACVR2A	TDGF1	9606.ENSP00000241416	9606.ENSP00000296145	0	0.292	0.500	0	0.630
ADA	DPP4	9606.ENSP00000361965	9606.ENSP00000353731	0	0.967	0	0	0.967
