#node	identifier	node_degree
A1BG	9606.ENSP00000263100	0
AADAC	9606.ENSP00000232892	0
AAK1	9606.ENSP00000386456	4
ABCA1	9606.ENSP00000363868	0
ABCA6	9606.ENSP00000284425	0
ABCA9	9606.ENSP00000342216	0
ABCB11	9606.ENSP00000497931	0
ABCB4	9606.ENSP00000265723	0
ABCC9	9606.ENSP00000261200	4
ABCD2	9606.ENSP00000310688	0
ABCD4	9606.ENSP00000349396	4
ABCG5	9606.ENSP00000384513	4
ABL1	9606.ENSP00000361423	12
ABL2	9606.ENSP00000427562	2
ABLIM3	9606.ENSP00000425394	0
ACAP2	9606.ENSP00000324287	0
ACE	9606.ENSP00000290866	0
ACKR4	9606.ENSP00000249887	0
ACSL3	9606.ENSP00000350012	1
ACTA2	9606.ENSP00000224784	7
ACVR2A	9606.ENSP00000241416	6
ADA	9606.ENSP00000361965	1
ADAD1	9606.ENSP00000296513	0
ADAM12	9606.ENSP00000357668	1
ADAM19	9606.ENSP00000257527	1
ADAM20	9606.ENSP00000498512	2
ADAM7	9606.ENSP00000175238	0
ADAMDEC1	9606.ENSP00000256412	0
ADAMTS12	9606.ENSP00000422554	0
ADARB2	9606.ENSP00000370713	0
ADCY1	9606.ENSP00000297323	2
ADCY4	9606.ENSP00000312126	2
ADCY6	9606.ENSP00000311405	7
ADD3	9606.ENSP00000348381	2
ADGRE5	9606.ENSP00000242786	1
ADGRG2	9606.ENSP00000369198	0
ADGRG5	9606.ENSP00000342981	1
ADGRL2	9606.ENSP00000359765	3
ADGRV1	9606.ENSP00000384582	1
ADORA2A	9606.ENSP00000480012	1
ADRA1A	9606.ENSP00000369960	6
ADRB1	9606.ENSP00000358301	0
ADTRP	9606.ENSP00000229583	0
AFAP1L2	9606.ENSP00000303042	0
AFDN	9606.ENSP00000355771	4
AGO2	9606.ENSP00000220592	8
AGR2	9606.ENSP00000391490	3
AGR3	9606.ENSP00000308606	0
AGTR1	9606.ENSP00000398832	5
AGTR2	9606.ENSP00000360973	1
AHCYL2	9606.ENSP00000315931	0
AHDC1	9606.ENSP00000363123	0
AHI1	9606.ENSP00000265602	0
AHNAK	9606.ENSP00000367263	2
AHRR	9606.ENSP00000323816	0
AICDA	9606.ENSP00000229335	0
AIFM2	9606.ENSP00000478931	1
AK5	9606.ENSP00000346577	0
AK9	9606.ENSP00000410186	0
AKAP11	9606.ENSP00000025301	1
AKAP12	9606.ENSP00000384537	0
AKAP3	9606.ENSP00000228850	0
AKAP5	9606.ENSP00000378207	2
AKAP9	9606.ENSP00000348573	4
AKR1E2	9606.ENSP00000298375	0
ALB	9606.ENSP00000295897	0
ALDH1L1	9606.ENSP00000273450	0
ALDH5A1	9606.ENSP00000314649	0
ALDH8A1	9606.ENSP00000265605	0
ALKAL2	9606.ENSP00000384604	0
ALOX5	9606.ENSP00000363512	2
ALOX5AP	9606.ENSP00000479870	1
ALPL	9606.ENSP00000363973	0
AMIGO1	9606.ENSP00000358880	0
AMIGO2	9606.ENSP00000266581	0
AMOT	9606.ENSP00000361027	3
ANG	9606.ENSP00000336762	0
ANGPTL7	9606.ENSP00000366015	0
ANKMY1	9606.ENSP00000385887	0
ANKRD10	9606.ENSP00000267339	0
ANKRD12	9606.ENSP00000262126	1
ANKRD13B	9606.ENSP00000378328	0
ANKRD16	9606.ENSP00000369436	0
ANKRD26	9606.ENSP00000365255	2
ANKRD29	9606.ENSP00000468354	1
ANKRD44	9606.ENSP00000282272	0
ANKRD45	9606.ENSP00000331268	0
ANKRD60	9606.ENSP00000396747	0
ANO1	9606.ENSP00000347454	0
ANO2	9606.ENSP00000348453	0
ANO8	9606.ENSP00000159087	0
ANTXR1	9606.ENSP00000301945	1
ANTXR2	9606.ENSP00000306185	1
ANXA2	9606.ENSP00000346032	3
ANXA4	9606.ENSP00000377833	0
AOX1	9606.ENSP00000363832	0
AP3B2	9606.ENSP00000440984	1
APC	9606.ENSP00000257430	15
APC2	9606.ENSP00000442954	7
APCDD1	9606.ENSP00000347433	0
APH1A	9606.ENSP00000358105	0
APIP	9606.ENSP00000379133	0
APOH	9606.ENSP00000205948	2
ARAP2	9606.ENSP00000302895	0
ARF1	9606.ENSP00000440005	15
ARHGAP24	9606.ENSP00000378611	0
ARHGAP28	9606.ENSP00000392660	0
ARHGAP30	9606.ENSP00000356992	0
ARHGAP42	9606.ENSP00000298815	0
ARHGAP5	9606.ENSP00000371897	2
ARHGEF10L	9606.ENSP00000355060	0
ARHGEF17	9606.ENSP00000263674	1
ARHGEF40	9606.ENSP00000298694	0
ARHGEF7	9606.ENSP00000495631	7
ARID3B	9606.ENSP00000477878	0
ARID4B	9606.ENSP00000264183	3
ARID5B	9606.ENSP00000279873	0
ARL3	9606.ENSP00000260746	3
ARL6IP5	9606.ENSP00000273258	1
ARPC3	9606.ENSP00000228825	5
ARPC5L	9606.ENSP00000345361	1
ARPP21	9606.ENSP00000412326	0
ARRDC4	9606.ENSP00000268042	0
ARSD	9606.ENSP00000370546	0
ART1	9606.ENSP00000250693	0
ARVCF	9606.ENSP00000263207	5
ASAH2	9606.ENSP00000378897	1
ASB14	9606.ENSP00000419199	1
ASB7	9606.ENSP00000328327	1
ASPH	9606.ENSP00000368767	1
ASPHD1	9606.ENSP00000311447	0
ASPHD2	9606.ENSP00000215906	0
ASS1	9606.ENSP00000361471	1
ATAD1	9606.ENSP00000339017	0
ATF6	9606.ENSP00000356919	2
ATF6B	9606.ENSP00000364349	2
ATF7IP	9606.ENSP00000440440	0
ATG16L1	9606.ENSP00000375873	2
ATG5	9606.ENSP00000358072	2
