#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC	DVL2	9606.ENSP00000257430	9606.ENSP00000005340	0	0.434	0.900	0	0.940
APC	RBX1	9606.ENSP00000257430	9606.ENSP00000216225	0	0	0.500	0	0.499
APC	CSNK2A1	9606.ENSP00000257430	9606.ENSP00000217244	0	0.550	0	0	0.550
APC	WNT3	9606.ENSP00000257430	9606.ENSP00000225512	0	0	0.720	0	0.720
APC	SKP1	9606.ENSP00000257430	9606.ENSP00000231487	0	0	0.900	0	0.900
APC	TCF7	9606.ENSP00000257430	9606.ENSP00000340347	0	0	0.500	0	0.499
APC	LEF1	9606.ENSP00000257430	9606.ENSP00000265165	0	0	0.500	0	0.499
APC	TCF7L2	9606.ENSP00000257430	9606.ENSP00000486891	0	0	0.500	0	0.499
APC	TCF7L1	9606.ENSP00000257430	9606.ENSP00000282111	0	0	0.500	0	0.499
APC	FZD1	9606.ENSP00000257430	9606.ENSP00000287934	0	0	0.540	0	0.540
APC	WNT2	9606.ENSP00000257430	9606.ENSP00000265441	0	0	0.540	0	0.540
APC	CUL1	9606.ENSP00000257430	9606.ENSP00000326804	0	0	0.500	0	0.499
APC	LRP6	9606.ENSP00000257430	9606.ENSP00000261349	0	0	0.720	0	0.720
APC	LRP5	9606.ENSP00000257430	9606.ENSP00000294304	0	0	0.720	0	0.720
APC	CSNK1E	9606.ENSP00000257430	9606.ENSP00000380044	0	0.564	0	0	0.564
APC	CTBP1	9606.ENSP00000257430	9606.ENSP00000290921	0	0.457	0.800	0	0.886
APC	APC2	9606.ENSP00000257430	9606.ENSP00000442954	0	0	0.900	0	0.900
APC	TBL1XR1	9606.ENSP00000257430	9606.ENSP00000405574	0	0	0.900	0	0.900
APC	DVL3	9606.ENSP00000257430	9606.ENSP00000316054	0	0	0.900	0	0.900
APC	TBL1X	9606.ENSP00000257430	9606.ENSP00000495556	0	0	0.900	0	0.900
APC	CACYBP	9606.ENSP00000257430	9606.ENSP00000356652	0	0	0.900	0	0.900
APC	TBL1Y	9606.ENSP00000257430	9606.ENSP00000372499	0	0	0.900	0	0.900
APC	CTNNBIP1	9606.ENSP00000257430	9606.ENSP00000366474	0	0.671	0.720	0	0.904
APC	SIAH1	9606.ENSP00000257430	9606.ENSP00000349156	0	0.549	0.900	0	0.952
APC	DVL1	9606.ENSP00000257430	9606.ENSP00000368166	0	0.457	0.900	0	0.943
APC	BTRC	9606.ENSP00000257430	9606.ENSP00000359206	0	0.564	0.800	0	0.909
APC	AXIN2	9606.ENSP00000257430	9606.ENSP00000302625	0	0.296	0.900	0	0.926
APC	CTNNB1	9606.ENSP00000257430	9606.ENSP00000495360	0	0.975	0.900	0	0.997
APC	GSK3B	9606.ENSP00000257430	9606.ENSP00000324806	0	0.564	0.900	0	0.954
APC	AXIN1	9606.ENSP00000257430	9606.ENSP00000262320	0	0.960	0.900	0	0.995
APC2	DVL2	9606.ENSP00000442954	9606.ENSP00000005340	0	0	0.900	0	0.900
APC2	SKP1	9606.ENSP00000442954	9606.ENSP00000231487	0	0	0.900	0	0.900
APC2	AXIN1	9606.ENSP00000442954	9606.ENSP00000262320	0	0.047	0.900	0	0.900
APC2	AXIN2	9606.ENSP00000442954	9606.ENSP00000302625	0	0.234	0.900	0	0.920
APC2	DVL3	9606.ENSP00000442954	9606.ENSP00000316054	0	0	0.900	0	0.900
APC2	GSK3B	9606.ENSP00000442954	9606.ENSP00000324806	0	0	0.800	0	0.800
APC2	SIAH1	9606.ENSP00000442954	9606.ENSP00000349156	0	0	0.540	0	0.540
APC2	CACYBP	9606.ENSP00000442954	9606.ENSP00000356652	0	0	0.540	0	0.540
APC2	CTNNBIP1	9606.ENSP00000442954	9606.ENSP00000366474	0	0.175	0.540	0	0.604
