#node	identifier	node_degree
APC	9606.ENSP00000257430	30
APC2	9606.ENSP00000442954	15
AXIN1	9606.ENSP00000262320	28
AXIN2	9606.ENSP00000302625	13
BAMBI	9606.ENSP00000364683	12
BTRC	9606.ENSP00000359206	16
CACYBP	9606.ENSP00000356652	10
CAMK2A	9606.ENSP00000500386	2
CAMK2B	9606.ENSP00000379098	1
CBY1	9606.ENSP00000478962	1
CCN4	9606.ENSP00000250160	0
CCND1	9606.ENSP00000227507	7
CCND2	9606.ENSP00000261254	2
CCND3	9606.ENSP00000362082	4
CER1	9606.ENSP00000370297	0
CHD8	9606.ENSP00000495240	2
CREBBP	9606.ENSP00000262367	19
CSNK1A1L	9606.ENSP00000369126	6
CSNK1E	9606.ENSP00000380044	10
CSNK2A1	9606.ENSP00000217244	10
CSNK2A2	9606.ENSP00000262506	7
CSNK2A3	9606.ENSP00000473553	6
CSNK2B	9606.ENSP00000365042	8
CTBP1	9606.ENSP00000290921	11
CTBP2	9606.ENSP00000311825	5
CTNNB1	9606.ENSP00000495360	39
CTNNBIP1	9606.ENSP00000366474	8
CTNND2	9606.ENSP00000307134	0
CUL1	9606.ENSP00000326804	10
CXXC4	9606.ENSP00000378248	3
DAAM1	9606.ENSP00000378557	5
DAAM2	9606.ENSP00000381876	4
DKK1	9606.ENSP00000363081	5
DKK2	9606.ENSP00000285311	4
DKK4	9606.ENSP00000220812	4
DVL1	9606.ENSP00000368166	44
DVL2	9606.ENSP00000005340	46
DVL3	9606.ENSP00000316054	43
EP300	9606.ENSP00000263253	19
FBXW11	9606.ENSP00000265094	6
FOSL1	9606.ENSP00000310170	2
FRAT1	9606.ENSP00000360060	5
FRAT2	9606.ENSP00000360058	5
FZD1	9606.ENSP00000287934	33
FZD10	9606.ENSP00000229030	25
FZD2	9606.ENSP00000323901	30
FZD3	9606.ENSP00000240093	30
FZD4	9606.ENSP00000434034	28
FZD5	9606.ENSP00000354607	29
FZD6	9606.ENSP00000351605	31
FZD7	9606.ENSP00000286201	29
FZD8	9606.ENSP00000363826	27
FZD9	9606.ENSP00000345785	25
GPC4	9606.ENSP00000359864	10
GSK3B	9606.ENSP00000324806	38
INVS	9606.ENSP00000262457	3
JUN	9606.ENSP00000360266	11
LEF1	9606.ENSP00000265165	13
LGR4	9606.ENSP00000368516	8
LGR5	9606.ENSP00000266674	8
LGR6	9606.ENSP00000356247	8
LRP5	9606.ENSP00000294304	31
LRP6	9606.ENSP00000261349	31
MAP3K7	9606.ENSP00000358335	4
MAPK8	9606.ENSP00000378974	6
MAPK9	9606.ENSP00000394560	4
MMP7	9606.ENSP00000260227	0
MYC	9606.ENSP00000478887	8
NFATC1	9606.ENSP00000389377	7
NFATC2	9606.ENSP00000379330	10
NFATC3	9606.ENSP00000300659	7
NFATC4	9606.ENSP00000388910	3
NKD1	9606.ENSP00000268459	6
NKD2	9606.ENSP00000296849	1
NLK	9606.ENSP00000384625	3
NOTUM	9606.ENSP00000387310	1
PLCB1	9606.ENSP00000338185	3
PLCB2	9606.ENSP00000260402	4
PLCB3	9606.ENSP00000443631	3
PLCB4	9606.ENSP00000367762	3
PORCN	9606.ENSP00000322304	0
PPARD	9606.ENSP00000310928	1
PPP3CA	9606.ENSP00000378323	9
PPP3CB	9606.ENSP00000378306	8
PPP3CC	9606.ENSP00000380878	6
PPP3R1	9606.ENSP00000234310	8
PPP3R2	9606.ENSP00000498330	6
PRICKLE1	9606.ENSP00000345064	5
PRICKLE2	9606.ENSP00000492363	5
PRICKLE3	9606.ENSP00000470248	5
PRICKLE4	9606.ENSP00000404911	6
PRKACA	9606.ENSP00000309591	6
PRKACB	9606.ENSP00000359719	6
PRKACG	9606.ENSP00000366488	6
PRKCA	9606.ENSP00000408695	4
PRKCB	9606.ENSP00000496129	2
PRKCG	9606.ENSP00000263431	2
PSEN1	9606.ENSP00000326366	5
RAC2	9606.ENSP00000249071	6
RAC3	9606.ENSP00000304283	8
RBX1	9606.ENSP00000216225	12
RHOA	9606.ENSP00000400175	9
RNF43	9606.ENSP00000463069	17
ROCK2	9606.ENSP00000317985	1
ROR1	9606.ENSP00000360120	12
ROR2	9606.ENSP00000364860	13
RSPO1	9606.ENSP00000348944	5
RSPO2	9606.ENSP00000276659	5
RSPO3	9606.ENSP00000349131	5
RSPO4	9606.ENSP00000217260	5
RUVBL1	9606.ENSP00000318297	8
RYK	9606.ENSP00000478721	15
SENP2	9606.ENSP00000296257	0
SERPINF1	9606.ENSP00000254722	0
SFRP1	9606.ENSP00000220772	1
SFRP2	9606.ENSP00000274063	1
SFRP4	9606.ENSP00000410715	0
SFRP5	9606.ENSP00000266066	0
SIAH1	9606.ENSP00000349156	8
SKP1	9606.ENSP00000231487	16
SMAD3	9606.ENSP00000332973	8
SMAD4	9606.ENSP00000341551	4
SOST	9606.ENSP00000301691	2
SOX17	9606.ENSP00000297316	5
TBL1X	9606.ENSP00000495556	8
TBL1XR1	9606.ENSP00000405574	7
TBL1Y	9606.ENSP00000372499	5
TCF7	9606.ENSP00000340347	11
TCF7L1	9606.ENSP00000282111	12
TCF7L2	9606.ENSP00000486891	13
TP53	9606.ENSP00000269305	14
VANGL1	9606.ENSP00000347672	11
VANGL2	9606.ENSP00000357040	12
WIF1	9606.ENSP00000286574	6
WNT1	9606.ENSP00000293549	19
WNT10A	9606.ENSP00000258411	10
WNT10B	9606.ENSP00000301061	10
WNT11	9606.ENSP00000325526	15
WNT16	9606.ENSP00000222462	12
WNT2	9606.ENSP00000265441	16
WNT2B	9606.ENSP00000358698	10
WNT3	9606.ENSP00000225512	18
WNT3A	9606.ENSP00000284523	24
WNT4	9606.ENSP00000290167	17
WNT5A	9606.ENSP00000264634	22
WNT5B	9606.ENSP00000380379	8
WNT6	9606.ENSP00000233948	10
WNT7A	9606.ENSP00000285018	13
WNT7B	9606.ENSP00000341032	11
WNT8A	9606.ENSP00000426653	17
WNT8B	9606.ENSP00000340677	17
WNT9A	9606.ENSP00000272164	11
WNT9B	9606.ENSP00000290015	10
ZNRF3	9606.ENSP00000443824	15
