p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
PLEKHO1,0.274738,0.0,null,0.457,null,SMURF1,0.227937
ATP8A1,0.559165,0.54,null,0.449,null,TMEM30B,0.365946
PRKX,0.243479,0.54,null,0.0,null,PRKY,0.275413
CD5,0.504003,0.0,null,0.457,null,LCK,0.376528
TCF7L2,0.285741,0.72,null,0.0,null,TLE4,0.439975
TCF7L2,0.285741,0.5,null,0.0,null,TRRAP,0.21246
UBQLN2,0.207691,0.0,null,0.417,null,USP34,0.318009
TYROBP,0.495729,0.5,null,0.0,null,VAV3,0.25453
SYK,0.538072,0.9,null,0.886,null,TYROBP,0.495729
SYK,0.538072,0.5,null,0.0,null,VAV3,0.25453
SYK,0.538072,0.0,null,0.457,null,UBASH3B,0.35576
SYK,0.538072,0.9,null,0.0,null,ZAP70,0.277147
BCL11B,0.692351,0.0,null,0.473,null,GATAD2B,0.198319
BCL11B,0.692351,0.0,null,0.524,null,MTA3,0.368448
BCL11B,0.692351,0.72,null,0.0,null,NCR1,0.24045
MYL9,0.222691,0.5,null,0.0,null,TPM2,0.260878
HOMER1,0.517587,0.5,null,0.0,null,NRXN3,0.702632
HOMER1,0.517587,0.5,null,0.0,null,NLGN4X,0.660919
HOMER1,0.517587,0.5,null,0.0,null,NLGN4Y,0.339729
ITGA5,0.328094,0.9,null,0.0,null,ITGB7,0.302266
ITGA5,0.328094,0.9,null,0.0,null,ITGB2,0.25966
ITGA5,0.328094,0.54,null,0.0,null,ITGAM,0.30444
ITGA5,0.328094,0.9,null,0.0,null,ITGAL,0.205699
ITGA5,0.328094,0.72,null,0.0,null,VTN,0.272829
ANXA2,0.62036,0.8,null,0.0,null,DYSF,0.256384
ARHGEF7,0.805071,0.5,null,0.457,null,CBL,0.383003
ARHGEF7,0.805071,0.5,null,0.0,null,EFNB1,0.66566
ARHGEF7,0.805071,0.0,null,0.489,null,LPXN,0.289209
ARHGEF7,0.805071,0.5,null,0.0,null,SH3KBP1,0.208961
ARHGEF7,0.805071,0.0,null,0.595,null,CAMK4,0.41971
ARHGEF7,0.805071,0.5,null,0.0,null,TGFA,0.297088
ARHGEF7,0.805071,0.0,null,0.591,null,SH2D1A,0.216899
PLXNB2,0.373039,0.9,null,0.0,null,PLXNB3,0.574735
PLXNB2,0.373039,0.0,null,0.462,null,RND2,0.426379
FNBP1,0.464449,0.0,null,0.457,null,SNX2,0.251128
FNBP1,0.464449,0.5,null,0.163,null,RND2,0.426379
ITPR1,0.687271,0.9,null,0.627,null,ITPR3,0.250458
CCL5,0.759737,0.0,null,0.734,null,CXCL11,0.769776
CCL5,0.759737,0.65,null,0.0,null,CXCR6,0.508915
CCL5,0.759737,0.65,null,0.0,null,CCR6,0.376441
CCL5,0.759737,0.65,null,0.483,null,CCR1,0.25017
CCL5,0.759737,0.0,null,0.734,null,CXCL17,0.556444
CHMP2A,0.218369,0.9,null,0.702,null,CHMP4B,0.333566
CHMP2A,0.218369,0.9,null,0.0,null,VPS37A,0.294592
CBL,0.383003,0.0,null,0.457,null,CD5,0.504003
CBL,0.383003,0.5,null,0.618,null,SYK,0.538072
CBL,0.383003,0.5,null,0.0,null,SOCS2,0.576723
CBL,0.383003,0.0,null,0.457,null,PTEN,0.418171
CBL,0.383003,0.0,null,0.468,null,EPS8,0.676577
CBL,0.383003,0.8,null,0.457,null,CRKL,0.471223
CBL,0.383003,0.5,null,0.0,null,FGF5,0.18074
CBL,0.383003,0.9,null,0.457,null,TGFBR2,0.276007
CBL,0.383003,0.9,null,0.457,null,RAPGEF1,0.271922
CBL,0.383003,0.5,null,0.457,null,LCK,0.376528
CBL,0.383003,0.5,null,0.292,null,LRIG1,0.265167
CBL,0.383003,0.8,null,0.608,null,SH3KBP1,0.208961
CBL,0.383003,0.0,null,0.457,null,UBASH3B,0.35576
CBL,0.383003,0.0,null,0.96,null,ZAP70,0.277147
CBL,0.383003,0.5,null,0.482,null,PIK3CA,0.271021
CBL,0.383003,0.54,null,0.0,null,SLC6A3,0.567439
CBL,0.383003,0.5,null,0.0,null,GAB3,0.251656
CBL,0.383003,0.5,null,0.0,null,IL6ST,0.446449
CBL,0.383003,0.0,null,0.497,null,ERBB4,0.489997
CBL,0.383003,0.5,null,0.0,null,FGF2,0.437948
CBL,0.383003,0.5,null,0.0,null,TGFA,0.297088
CBL,0.383003,0.0,null,0.726,null,MST1R,0.291653
CBL,0.383003,0.0,null,0.457,null,ITSN1,0.42444
CBL,0.383003,0.5,null,0.0,null,FGF6,0.315649
CBL,0.383003,0.5,null,0.0,null,FGF10,0.36056
CBL,0.383003,0.65,null,0.0,null,FGFR3,0.218399
CBL,0.383003,0.0,null,0.457,null,CFTR,0.243087
CHMP4B,0.333566,0.0,null,0.457,null,MVP,0.242977
CHMP4B,0.333566,0.9,null,0.0,null,VPS37A,0.294592
DDX17,0.411742,0.0,null,0.457,null,FBXW7,0.334255
FOXP1,0.259451,0.8,null,0.0,null,POU5F1,0.198026
GATAD2B,0.198319,0.0,null,0.651,null,PHF20L1,0.429271
GATAD2B,0.198319,0.0,null,0.457,null,TXNIP,0.251659
GATAD2B,0.198319,0.54,null,0.731,null,MTA3,0.368448
MDFI,0.67063,0.0,null,0.421,null,PBXIP1,0.189561
SYT11,0.286681,0.5,null,0.0,null,SYT9,0.187435
MAX,0.38286,0.0,null,0.568,null,TRRAP,0.21246
MAX,0.38286,0.0,null,0.42,null,MBTD1,0.476227
MAX,0.38286,0.0,null,0.542,null,SMAD3,0.236565
EFHC1,0.238435,0.0,null,0.8,null,TEKT3,0.190797
PTEN,0.418171,0.5,null,0.457,null,USP7,0.271541
PTEN,0.418171,0.0,null,0.457,null,SLC9A3R1,0.229356
PTEN,0.418171,0.0,null,0.457,null,USP13,0.205423
CYLD,0.246297,0.5,null,0.457,null,OPTN,0.260281
DBI,0.21658,0.54,null,0.0,null,LIPC,0.488407
DBI,0.21658,0.0,null,0.479,null,LGALS3,0.3776
AIFM2,0.414301,0.281,null,0.25,null,DDO,0.185527
IL2RB,0.482015,0.5,null,0.0,null,SYK,0.538072
IL2RB,0.482015,0.9,null,0.0,null,RHOA,0.274713
IL2RB,0.482015,0.5,null,0.0,null,PTPN6,0.248021
IL2RB,0.482015,0.4,null,0.0,null,PIK3CA,0.271021
CD247,0.616572,0.9,null,0.102,null,SYK,0.538072
CD247,0.616572,0.5,null,0.0,null,HLA-DRB5,0.367507
CD247,0.616572,0.9,null,0.9,null,CD3D,0.669606
CD247,0.616572,0.5,null,0.0,null,VAV3,0.25453
CD247,0.616572,0.5,null,0.0,null,HLA-DRA,0.374253
CD247,0.616572,0.5,null,0.0,null,HLA-DPB1,0.42847
CD247,0.616572,0.5,null,0.462,null,LCK,0.376528
CD247,0.616572,0.5,null,0.0,null,HLA-DRB1,0.29988
CD247,0.616572,0.5,null,0.0,null,HLA-DPA1,0.25235
CD247,0.616572,0.9,null,0.9,null,CD3G,0.277416
CD247,0.616572,0.9,null,0.962,null,ZAP70,0.277147
CD247,0.616572,0.5,null,0.0,null,PIK3CA,0.271021
CD247,0.616572,0.5,null,0.0,null,HLA-DQB1,0.241651
CD247,0.616572,0.5,null,0.05,null,ITK,0.370003
CD247,0.616572,0.9,null,0.0,null,CD8A,0.412963
CD247,0.616572,0.5,null,0.0,null,HLA-F,0.268994
CD247,0.616572,0.9,null,0.0,null,CD4,0.459962
CD247,0.616572,0.5,null,0.0,null,HLA-DQA1,0.312064
CD247,0.616572,0.9,null,0.292,null,NCR1,0.24045
CD247,0.616572,0.9,null,0.0,null,CD8B,0.195943
CD247,0.616572,0.9,null,0.0,null,FCGR3B,0.188226
POLD4,0.278758,0.4,null,0.0,null,POLK,0.272498
POLD4,0.278758,0.5,null,0.0,null,RFC1,0.234768
IL3RA,0.438939,0.5,null,0.0,null,PTPN6,0.248021
IL3RA,0.438939,0.4,null,0.0,null,PIK3CA,0.271021
IL3RA,0.438939,0.4,null,0.0,null,IL5,0.192849
RHOA,0.274713,0.5,null,0.14,null,RTN4,0.201032
RHOA,0.274713,0.0,null,0.483,null,VAV3,0.25453
RHOA,0.274713,0.5,null,0.0,null,TGFBR2,0.276007
RHOA,0.274713,0.0,null,0.417,null,TIAM1,0.302958
RHOA,0.274713,0.5,null,0.457,null,SMURF1,0.227937
RHOA,0.274713,null,0.9,null,0.469,ROCK2,null
RHOA,0.274713,null,0.4,null,0.162,VANGL1,null
DLGAP4,0.202489,0.5,null,0.0,null,HOMER1,0.517587
DLGAP4,0.202489,0.5,null,0.0,null,NRXN3,0.702632
DLGAP4,0.202489,0.5,null,0.0,null,NLGN4X,0.660919
DLGAP4,0.202489,0.5,null,0.0,null,NLGN4Y,0.339729
DLGAP4,0.202489,0.5,null,0.0,null,GRM5,0.345324
HLA-DRB5,0.367507,0.5,null,0.0,null,LCK,0.376528
HLA-DRB5,0.367507,0.5,null,0.0,null,ZAP70,0.277147
HLA-DRB5,0.367507,0.5,null,0.0,null,ITK,0.370003
HLA-DRB5,0.367507,0.54,null,0.0,null,HLA-F,0.268994
HLA-DRB5,0.367507,0.5,null,0.0,null,SEC24D,0.257655
ATG16L1,0.415657,0.9,null,0.98,null,ATG5,0.192974
ATG16L1,0.415657,0.0,null,0.457,null,TRAF3IP3,0.189182
CD3D,0.669606,0.9,null,0.0,null,SYK,0.538072
CD3D,0.669606,0.5,null,0.0,null,HLA-DRB5,0.367507
CD3D,0.669606,0.5,null,0.0,null,HLA-DRA,0.374253
CD3D,0.669606,0.4,null,0.0,null,IL7R,0.559269
CD3D,0.669606,0.5,null,0.0,null,HLA-DPB1,0.42847
CD3D,0.669606,0.5,null,0.0,null,LCK,0.376528
CD3D,0.669606,0.5,null,0.0,null,HLA-DRB1,0.29988
CD3D,0.669606,0.5,null,0.0,null,HLA-DPA1,0.25235
CD3D,0.669606,0.9,null,0.9,null,CD3G,0.277416
CD3D,0.669606,0.9,null,0.621,null,ZAP70,0.277147
CD3D,0.669606,0.4,null,0.0,null,IGF2R,0.301153
CD3D,0.669606,0.5,null,0.0,null,HLA-DQB1,0.241651
CD3D,0.669606,0.5,null,0.0,null,ITK,0.370003
CD3D,0.669606,0.9,null,0.322,null,CD8A,0.412963
CD3D,0.669606,0.5,null,0.0,null,HLA-F,0.268994
CD3D,0.669606,0.9,null,0.0,null,CD4,0.459962
CD3D,0.669606,0.5,null,0.0,null,HLA-DQA1,0.312064
CD3D,0.669606,0.9,null,0.0,null,CD8B,0.195943
CD3D,0.669606,0.4,null,0.0,null,TF,0.47949
CD3D,0.669606,0.4,null,0.0,null,CFTR,0.243087
GNAI2,0.206293,0.65,null,0.225,null,GNB5,0.263865
GNAI2,0.206293,0.5,null,0.486,null,RGS5,0.657131
GNAI2,0.206293,0.5,null,0.271,null,RGS12,0.677052
